epoch,step,train_acc,train_loss,val_acc,val_loss
0,342,,,0.769214391708374,0.5296190977096558
0,342,0.7163158059120178,0.6089316606521606,,
1,685,,,0.9827549457550049,0.25647300481796265
1,685,0.9507538676261902,0.36469489336013794,,
2,1028,,,0.9912710189819336,0.17386209964752197
2,1028,0.9872949719429016,0.21087020635604858,,
3,1371,,,0.9967000484466553,0.13120417296886444
3,1371,0.9938641786575317,0.15208876132965088,,
4,1714,,,0.9981903433799744,0.10260910540819168
4,1714,0.9963276386260986,0.11758336424827576,,
5,2057,,,0.9981903433799744,0.08354490995407104
5,2057,0.9985629916191101,0.09298346191644669,,
6,2400,,,0.9993612766265869,0.06728425621986389
6,2400,0.998996376991272,0.07542156428098679,,
