epoch,step,train_acc,train_loss,val_acc,val_loss
0,342,,,0.9694485664367676,0.198106050491333
0,342,0.741771399974823,0.4764585494995117,,
1,685,,,0.9737066030502319,0.11404238641262054
1,685,0.9701648950576782,0.13769979774951935,,
2,1028,,,0.9767937064170837,0.0909482091665268
2,1028,0.9759357571601868,0.09819427132606506,,
3,1371,,,0.979561448097229,0.07644423097372055
3,1371,0.9792659878730774,0.08083769679069519,,
4,1714,,,0.9815840125083923,0.06320169568061829
4,1714,0.981090784072876,0.06754527240991592,,
5,2057,,,0.9821162223815918,0.05033048987388611
5,2057,0.9822084307670593,0.05470401048660278,,
6,2400,,,0.9824355840682983,0.039159201085567474
6,2400,0.9831436276435852,0.04277776926755905,,
