epoch,step,train_acc,train_loss,val_acc,val_loss
0,342,,,0.9489035606384277,0.20132037997245789
0,342,0.7385095953941345,0.49781766533851624,,
1,685,,,0.9861613512039185,0.059753112494945526
1,685,0.9768025279045105,0.10929185897111893,,
2,1028,,,0.991696834564209,0.03341612219810486
2,1028,0.9901690483093262,0.045986734330654144,,
3,1371,,,0.9967000484466553,0.02285427786409855
3,1371,0.9943659901618958,0.028684839606285095,,
4,1714,,,0.9974451661109924,0.01606285758316517
4,1714,0.9960995316505432,0.020824315026402473,,
5,2057,,,0.996167778968811,0.014156610704958439
5,2057,0.9969207048416138,0.016454050317406654,,
6,2400,,,0.9987226128578186,0.009938780218362808
6,2400,0.9980383515357971,0.013225025497376919,,
