epoch,step,train_acc,train_loss,val_acc,val_loss
0,342,,,0.9640195965766907,0.18869200348854065
0,342,0.8033803701400757,0.49067720770835876,,
1,685,,,0.9824355840682983,0.07329689711332321
1,685,0.9717615842819214,0.12231826782226562,,
2,1028,,,0.9967000484466553,0.02725314348936081
2,1028,0.9920622110366821,0.04455452412366867,,
3,1371,,,0.9984032511711121,0.01641322299838066
3,1371,0.9972400069236755,0.022355562075972557,,
4,1714,,,0.9991483688354492,0.011142906732857227
4,1714,0.9982208609580994,0.015136554837226868,,
5,2057,,,0.9994677305221558,0.008119069039821625
5,2057,0.9989051222801208,0.011069174855947495,,
6,2400,,,0.9994677305221558,0.006724047940224409
6,2400,0.9990648031234741,0.008908802643418312,,
